# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		4171		2280		1504
1		3870		4181		1542
2		3803		6007		1575
3		3785		7794		1588
4		3762		9529		1569
5		3753		11241		1570
6		3735		12937		1586
7		3752		14627		1560
8		3700		16265		1551
9		3745		17937		1615
10		3773		19627		1598
11		3673		21321		1581
12		3701		22982		1592
13		3688		24632		1609
14		3693		26279		1592
15		3688		27913		1602
16		3693		29536		1609
17		3674		31171		1590
18		3674		32788		1573
19		3706		34413		1605
20		3688		36028		1585
21		3689		37653		1608
22		3652		39279		1587
23		3637		40884		1599
24		3626		42468		1652
25		3597		44025		1607
26		3620		45586		1582
27		3656		47173		1631
28		3666		48769		1609
29		3650		50354		1625
30		3609		51922		1612
31		3641		53472		1625
32		3633		55025		1592
33		3637		56596		1643
34		3605		58132		1623
35		3616		59675		1606
36		3633		61242		1615
37		3626		62795		1606
38		3596		64329		1608
39		3605		65866		1597
40		3583		67392		1639
41		3605		68889		1621
42		3593		70419		1621
43		3573		71930		1609
44		3614		73447		1610
45		3618		74979		1602
46		3582		76499		1607
47		3592		78022		1562
48		3562		79534		1589
49		3565		81009		1599
50		3566		82499		1594
51		3567		83976		1604
52		3574		85469		1612
53		3550		86945		1626
54		3583		88441		1620
55		3575		89937		1625
56		3566		91431		1586
57		3576		92924		1629
58		3548		94399		1610
59		3538		95868		1596
60		3571		97357		1611
61		3565		98825		1600
62		3583		100320		1584
63		3531		101813		1593
64		3538		103244		1603
65		3570		104709		1603
66		3571		106186		1604
67		3572		107641		1602
68		3550		109098		1592
69		3566		110556		1599
70		3562		112028		1577
71		3570		113492		1579
72		3557		114983		1582
73		3549		116445		1616
74		3581		117913		1602
75		3542		119390		1596
76		3574		120861		1611
77		3549		122335		1582
78		3540		123803		1606
79		3548		125262		1610
80		3557		126719		1580
81		3521		128155		1596
82		3516		129566		1598
83		3519		130991		1579
84		3530		132414		1598
85		3538		133853		1592
86		3535		135290		1589
87		3516		136705		1597
88		3513		138118		1596
89		3527		139530		1586
90		3508		140941		1597
91		3538		142352		1594
92		3529		143767		1572
93		3516		145193		1591
94		3516		146606		1577
95		3499		148031		1566
96		3519		149436		1605
97		3541		150849		1609
98		3538		152273		1586
99		3521		153684		1594
100		3526		155094		1574
101		3507		156515		1567
102		3512		157942		1585
103		3504		159363		1592
104		3512		160790		1584
105		3519		162207		1599
106		3494		163607		1603
107		3520		164980		1589
108		3502		166347		1600
109		3471		167701		1590
110		3508		169078		1610
111		3497		170452		1601
112		3475		171812		1610
113		3478		173184		1584
114		3476		174522		1608
115		3469		175879		1569
116		3478		177241		1584
117		3472		178618		1602
118		3464		179965		1596
119		3489		181324		1579
120		3473		182684		1596
121		3477		184028		1591
122		3482		185394		1574
123		3474		186745		1603
124		3501		188116		1589
125		3474		189483		1582
126		3485		190840		1613
127		3483		192195		1606
128		3477		193552		1578
129		3469		194902		1584
130		3464		196235		1587
131		3477		197580		1568
132		3457		198919		1585
133		3450		200258		1565
134		3457		201581		1562
135		3449		202901		1578
136		3464		204237		1581
137		3466		205587		1581
138		3465		206934		1589
139		3460		208268		1579
140		3456		209605		1565
141		3458		210918		1578
142		3454		212256		1573
143		3444		213585		1573
144		3457		214901		1597
145		3445		216215		1598
146		3451		217535		1587
147		3458		218870		1597
148		3435		220183		1602
149		3430		221494		1578
150		3439		222783		1590
151		3434		224081		1604
152		3443		225392		1576
153		3434		226686		1606
154		3418		227982		1609
155		3428		229264		1591
156		3416		230551		1602
157		3433		231825		1608
158		3424		233104		1592
159		3437		234387		1606
160		3442		235678		1610
161		3432		236965		1584
162		3415		238245		1608
163		3429		239525		1588
164		3439		240819		1582
165		3442		242107		1596
166		3428		243409		1601
167		3435		244714		1583
168		3444		246019		1605
169		3440		247319		1607
170		3431		248616		1574
171		3427		249913		1600
172		3411		251203		1583
173		3423		252497		1600
174		3428		253776		1610
175		3424		255047		1609
176		3429		256328		1576
177		3432		257595		1584
178		3419		258876		1591
179		3414		260156		1581
180		3420		261422		1603
181		3421		262695		1600
182		3423		263993		1586
183		3429		265286		1602
184		3430		266567		1599
185		3432		267856		1581
186		3427		269136		1598
187		3421		270412		1603
188		3419		271707		1598
189		3425		272989		1605
190		3421		274264		1593
191		3422		275545		1587
