# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		590645		63046		53724
1		571746		125420		46626
2		515309		186187		47935
3		387025		241675		47644
4		286654		287697		47704
5		235051		325341		47709
6		212267		357071		47787
7		196909		385750		47763
8		186701		412079		47821
9		179036		436708		47783
10		174247		459891		47908
11		171079		482278		47848
12		169912		504054		47820
13		167503		525483		47732
14		162600		546535		47799
15		161547		567252		47741
16		160931		587501		47708
17		159427		607802		47719
18		159032		627909		47767
19		158184		647572		47829
20		157629		667095		47829
21		157282		686453		47738
22		157147		705749		47817
23		155759		724539		47801
24		154530		743171		47787
25		155530		761595		47728
26		154608		779938		47711
27		154659		798315		47733
28		154041		816477		47778
29		154035		834718		47798
30		153049		852753		47754
31		152306		870553		47904
32		152681		888499		47699
33		152130		906099		47817
34		151801		923582		47886
35		152366		940960		47772
36		151868		958483		47822
37		152374		975931		47726
38		151536		993447		47815
39		150897		1010763		47869
40		150202		1027651		47773
41		149780		1044021		47677
42		148600		1060166		47748
43		148476		1076277		47759
44		149083		1092364		47735
45		148530		1108236		47640
46		148163		1123935		47751
47		148019		1139699		47785
48		148130		1155376		47715
49		148342		1171077		47755
50		147028		1186496		47769
51		146296		1201741		47783
52		146037		1216760		47640
53		146333		1231798		47737
54		146688		1246802		47750
55		146903		1261927		47789
56		146221		1276824		47754
57		146543		1291664		47763
58		145348		1306212		47747
59		145743		1320949		47620
60		145414		1335609		47730
61		145487		1350053		47767
62		144677		1364061		47702
63		143920		1378031		47618
64		143895		1391793		47702
65		143204		1405408		47808
66		143687		1418892		47726
67		143298		1432246		47867
68		143307		1445889		47788
69		143070		1459519		47676
70		142560		1472768		47722
71		142926		1485857		47754
72		142685		1498926		47805
73		142853		1511887		47833
74		142349		1524870		47744
75		142176		1537740		47770
76		142177		1550484		47763
77		141292		1563041		47831
78		141485		1575575		47795
79		141072		1587935		47739
80		140936		1600140		47771
81		140728		1612194		47918
82		140664		1624151		47879
83		139831		1635901		47766
84		139888		1647600		47778
85		139651		1658899		47769
86		139980		1670324		47853
87		139106		1681556		47763
88		138702		1692593		47767
89		138188		1703527		47753
90		138196		1714526		47787
91		138072		1725317		47850
92		137817		1735909		47773
93		137509		1746280		47877
94		137358		1756743		47860
95		137463		1767084		47818
96		136883		1777131		47760
97		136768		1787005		47759
98		136875		1797081		47821
99		136603		1806778		47815
100		136412		1816530		47737
101		136618		1826230		47801
102		136101		1836004		47775
103		135711		1845488		47764
104		135586		1854885		47799
105		134853		1864150		47842
106		134862		1873170		47872
107		134032		1881861		47874
108		134310		1890499		47958
109		133726		1899076		47900
110		133871		1907427		47860
111		133674		1915872		47856
112		133448		1924216		47841
113		132980		1932294		47927
114		133201		1940168		47893
115		132671		1948005		47841
116		132731		1955711		47901
117		132967		1963331		47804
118		132328		1971036		47764
119		132151		1978453		47843
120		131738		1985803		47869
121		131863		1993024		47799
122		131807		2000215		47796
123		131537		2007236		47748
124		130826		2013941		47818
125		130733		2020657		47802
126		130595		2027007		47730
127		130224		2033470		47817
128		130501		2039790		47826
129		130089		2046098		47791
130		130186		2052411		47698
131		129933		2058526		47756
132		129618		2064578		47741
133		129769		2070511		47724
134		129562		2076533		47760
135		129586		2082443		47764
136		129354		2088127		47849
137		129105		2093738		47876
138		129391		2099394		47761
139		129004		2104991		47763
140		128668		2110415		47737
141		128368		2115602		47786
142		128369		2120762		47793
143		128197		2125886		47826
144		127923		2130878		47835
145		127764		2135605		47812
146		127512		2140270		47789
147		127504		2144881		47861
148		127399		2149401		47799
149		126892		2153699		47805
150		126909		2158078		47862
151		126568		2162097		47827
152		126259		2165966		47792
153		126091		2169715		47782
154		125965		2173295		47763
155		125809		2176718		47767
156		125303		2179999		47712
157		125268		2183136		47778
158		125159		2186240		47768
159		125040		2189156		47796
160		124669		2192058		47825
161		124629		2194755		47745
162		124555		2197337		47757
163		124478		2199828		47719
164		124234		2202205		47706
165		124211		2204566		47741
166		124081		2206908		47663
167		123945		2209222		47737
168		123837		2211442		47745
169		123544		2213466		47705
170		123385		2215390		47708
171		123293		2217311		47733
172		123194		2219099		47721
173		123093		2220814		47718
174		122949		2222426		47720
175		122803		2223903		47729
176		122667		2225312		47686
177		122512		2226702		47693
178		122371		2227948		47688
179		122194		2229161		47718
180		122081		2230275		47729
181		121990		2231426		47757
182		121845		2232406		47738
183		121718		2233292		47788
184		121675		2234107		47761
185		121509		2234847		47757
186		121408		2235543		47714
187		121301		2236146		47716
188		121207		2236695		47741
189		121138		2237172		47732
190		121090		2237611		47721
191		121015		2238008		47717
192		120978		2238362		47710
193		120904		2238678		47736
194		120839		2238987		47721
195		120815		2239248		47712
196		120749		2239505		47709
197		120701		2239717		47718
198		120667		2239908		47715
199		120627		2240091		47714
200		120585		2240239		47707
201		120557		2240366		47711
202		120543		2240483		47705
203		120522		2240584		47716
204		120491		2240679		47724
205		120461		2240767		47718
206		120448		2240846		47722
207		120433		2240912		47727
208		120415		2240969		47742
209		120401		2241018		47739
210		120391		2241072		47735
211		120383		2241115		47729
212		120372		2241170		47732
213		120358		2241202		47725
